"time_id","time_actual","hours_24","hours_12","hour_minutes","day_minutes","minute_seconds","day_time_name","day_night"
350,00:03:50,"00","12","03",230,50,AM,Night
351,00:03:51,"00","12","03",231,51,AM,Night
352,00:03:52,"00","12","03",232,52,AM,Night
353,00:03:53,"00","12","03",233,53,AM,Night
354,00:03:54,"00","12","03",234,54,AM,Night
355,00:03:55,"00","12","03",235,55,AM,Night
356,00:03:56,"00","12","03",236,56,AM,Night
357,00:03:57,"00","12","03",237,57,AM,Night
358,00:03:58,"00","12","03",238,58,AM,Night
359,00:03:59,"00","12","03",239,59,AM,Night
400,00:04:00,"00","12","04",240,0,AM,Night
401,00:04:01,"00","12","04",241,1,AM,Night
402,00:04:02,"00","12","04",242,2,AM,Night
403,00:04:03,"00","12","04",243,3,AM,Night
404,00:04:04,"00","12","04",244,4,AM,Night
405,00:04:05,"00","12","04",245,5,AM,Night
406,00:04:06,"00","12","04",246,6,AM,Night
407,00:04:07,"00","12","04",247,7,AM,Night
408,00:04:08,"00","12","04",248,8,AM,Night
409,00:04:09,"00","12","04",249,9,AM,Night
410,00:04:10,"00","12","04",250,10,AM,Night
411,00:04:11,"00","12","04",251,11,AM,Night
412,00:04:12,"00","12","04",252,12,AM,Night
413,00:04:13,"00","12","04",253,13,AM,Night
414,00:04:14,"00","12","04",254,14,AM,Night
415,00:04:15,"00","12","04",255,15,AM,Night
416,00:04:16,"00","12","04",256,16,AM,Night
417,00:04:17,"00","12","04",257,17,AM,Night
418,00:04:18,"00","12","04",258,18,AM,Night
419,00:04:19,"00","12","04",259,19,AM,Night
420,00:04:20,"00","12","04",260,20,AM,Night
421,00:04:21,"00","12","04",261,21,AM,Night
422,00:04:22,"00","12","04",262,22,AM,Night
423,00:04:23,"00","12","04",263,23,AM,Night
424,00:04:24,"00","12","04",264,24,AM,Night
425,00:04:25,"00","12","04",265,25,AM,Night
426,00:04:26,"00","12","04",266,26,AM,Night
427,00:04:27,"00","12","04",267,27,AM,Night
428,00:04:28,"00","12","04",268,28,AM,Night
429,00:04:29,"00","12","04",269,29,AM,Night
430,00:04:30,"00","12","04",270,30,AM,Night
431,00:04:31,"00","12","04",271,31,AM,Night
432,00:04:32,"00","12","04",272,32,AM,Night
433,00:04:33,"00","12","04",273,33,AM,Night
434,00:04:34,"00","12","04",274,34,AM,Night
435,00:04:35,"00","12","04",275,35,AM,Night
436,00:04:36,"00","12","04",276,36,AM,Night
437,00:04:37,"00","12","04",277,37,AM,Night
438,00:04:38,"00","12","04",278,38,AM,Night
439,00:04:39,"00","12","04",279,39,AM,Night
440,00:04:40,"00","12","04",280,40,AM,Night
441,00:04:41,"00","12","04",281,41,AM,Night
442,00:04:42,"00","12","04",282,42,AM,Night
443,00:04:43,"00","12","04",283,43,AM,Night
444,00:04:44,"00","12","04",284,44,AM,Night
445,00:04:45,"00","12","04",285,45,AM,Night
446,00:04:46,"00","12","04",286,46,AM,Night
447,00:04:47,"00","12","04",287,47,AM,Night
448,00:04:48,"00","12","04",288,48,AM,Night
449,00:04:49,"00","12","04",289,49,AM,Night
450,00:04:50,"00","12","04",290,50,AM,Night
451,00:04:51,"00","12","04",291,51,AM,Night
452,00:04:52,"00","12","04",292,52,AM,Night
453,00:04:53,"00","12","04",293,53,AM,Night
454,00:04:54,"00","12","04",294,54,AM,Night
455,00:04:55,"00","12","04",295,55,AM,Night
456,00:04:56,"00","12","04",296,56,AM,Night
457,00:04:57,"00","12","04",297,57,AM,Night
458,00:04:58,"00","12","04",298,58,AM,Night
459,00:04:59,"00","12","04",299,59,AM,Night
500,00:05:00,"00","12","05",300,0,AM,Night
501,00:05:01,"00","12","05",301,1,AM,Night
502,00:05:02,"00","12","05",302,2,AM,Night
503,00:05:03,"00","12","05",303,3,AM,Night
504,00:05:04,"00","12","05",304,4,AM,Night
505,00:05:05,"00","12","05",305,5,AM,Night
506,00:05:06,"00","12","05",306,6,AM,Night
507,00:05:07,"00","12","05",307,7,AM,Night
508,00:05:08,"00","12","05",308,8,AM,Night
509,00:05:09,"00","12","05",309,9,AM,Night
510,00:05:10,"00","12","05",310,10,AM,Night
